StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q5,Q4,Q3_1,Q3_2,Q3_3,Q3_4,Q6,Q7,Q1,Q1_7_TEXT,Q8,Q9,Q10,Q11,Q12,Q12_7_TEXT,Q13,Q14,Q15_1,Q15_2,Q15_3,Q17,Q18,Q18_3_TEXT,MTurkCode,condition_number,condition
2025-04-03 20:56:00,2025-04-03 21:01:17,0,172.59.221.116,100,316,1,2025-04-03 21:01:17,R_32u1Zj4xuHe3lCm,,,,,35.2522,-80.8263,anonymous,EN,3,3,4,4,5,5,5,6,"1,4","1,2,6",,5,3,4,0,6,,5,2,2,3,3,42,2,,73375861,0,multiple
2025-04-03 20:59:04,2025-04-03 21:01:17,0,70.162.86.136,100,132,1,2025-04-03 21:01:17,R_7lxV4kzs8pBm5uK,,,,,32.2503,-110.945,anonymous,EN,2,3,5,2,2,5,5,5,"1,4","4,6",,5,3,2,0,2,,5,4,5,4,4,41,1,,11007643,0,multiple
2025-04-03 20:57:25,2025-04-03 21:01:24,0,104.182.67.85,100,238,1,2025-04-03 21:01:24,R_1vqCRWv3x6jDHot,,,,,32.7449,-117.165,anonymous,EN,5,4,4,3,3,4,4,5,3,3,,4,4,3,0,3,,5,4,3,4,4,27,1,,47633079,0,multiple
2025-04-03 20:55:58,2025-04-03 21:01:55,0,209.114.6.22,100,356,1,2025-04-03 21:01:55,R_3rHnA3peloKiDIp,,,,,37.751,-97.822,anonymous,EN,6,6,6,6,6,6,6,5,"1,2,4","2,3",,6,6,6,1,3,,6,6,6,6,6,37,2,,89325714,1,single
2025-04-03 20:59:33,2025-04-03 21:02:07,0,73.78.113.102,100,154,1,2025-04-03 21:02:08,R_7lcuCbZZiSN0wfv,,,,,39.4895,-104.8447,anonymous,EN,3,5,5,4,3,3,4,7,"1,4",1,,5,4,5,0,6,,4,1,3,4,4,39,1,,85843197,0,multiple
2025-04-03 21:00:09,2025-04-03 21:02:07,0,172.87.18.58,100,118,1,2025-04-03 21:02:08,R_1JdLbgL8KUeuIed,,,,,39.5992,-86.13,anonymous,EN,2,1,2,1,1,1,1,1,1,6,,2,4,1,0,6,,1,1,1,1,1,34,1,,20673031,1,single
2025-04-03 20:59:39,2025-04-03 21:02:15,0,68.56.233.94,100,156,1,2025-04-03 21:02:15,R_3ijVBbOPfhOz910,,,,,42.518,-83.1576,anonymous,EN,3,2,2,2,1,4,3,7,"1,3,4","4,6",,1,2,2,0,4,,3,2,2,2,2,24,2,,15939419,1,single
2025-04-03 20:58:03,2025-04-03 21:02:16,0,98.61.63.249,100,252,1,2025-04-03 21:02:16,R_31abgUFyHIjeaF0,,,,,45.08,-93.0227,anonymous,EN,3,4,5,4,3,3,3,6,"1,4",4,,2,5,3,0,6,,2,3,4,4,3,63,1,,49710124,1,single
2025-04-03 21:01:16,2025-04-03 21:02:30,0,71.172.238.164,100,74,1,2025-04-03 21:02:31,R_7pZVWFteExj6bv3,,,,,40.3869,-74.5558,anonymous,EN,5,6,4,3,6,5,5,6,"2,3","2,3,5",,6,5,4,0,2,,6,4,6,2,4,40,4,,25547603,0,multiple
2025-04-03 20:56:17,2025-04-03 21:02:45,0,76.181.210.253,100,387,1,2025-04-03 21:02:45,R_3cw8wjurGAKMVeo,,,,,37.019,-86.4537,anonymous,EN,3,3,3,3,2,3,3,7,4,4,,3,3,2,0,6,,2,1,2,2,2,39,2,,36105912,1,single
2025-04-03 21:01:08,2025-04-03 21:03:14,0,68.225.246.232,100,126,1,2025-04-03 21:03:14,R_5L6a2HYrZiFiub9,,,,,33.7015,-117.7528,anonymous,EN,7,3,7,6,7,7,4,3,1,"1,3",,4,5,2,1,3,,3,2,6,7,6,32,1,,46114546,0,multiple
2025-04-03 20:58:28,2025-04-03 21:03:55,0,172.59.190.92,100,326,1,2025-04-03 21:03:55,R_1jprUbGZ1L6B0el,,,,,41.8835,-87.6305,anonymous,EN,2,4,3,4,4,2,2,7,"1,4",2,,3,4,4,0,6,,3,2,2,2,2,50,2,,57473008,0,multiple
2025-04-03 21:00:38,2025-04-03 21:04:02,0,76.230.77.120,100,204,1,2025-04-03 21:04:03,R_60S8y0LbiLcLew9,,,,,40.4484,-86.1394,anonymous,EN,5,3,4,3,4,4,3,3,5,6,,4,2,2,0,6,,2,2,3,3,3,58,1,,35520102,0,multiple
2025-04-03 20:56:16,2025-04-03 21:04:04,0,99.111.135.127,100,467,1,2025-04-03 21:04:04,R_10NpDTnZtUhLUEu,,,,,35.5312,-81.0298,anonymous,EN,5,4,2,4,5,5,2,5,"1,4","4,6",,2,2,4,0,6,,2,1,2,3,2,50,1,,51550881,1,single
2025-04-03 21:01:12,2025-04-03 21:04:16,0,209.159.217.88,100,183,1,2025-04-03 21:04:17,R_5Pbb7uEu2mJP8it,,,,,44.1415,-103.2052,anonymous,EN,5,4,4,5,4,5,3,6,"1,4",6,,3,5,5,0,5,,4,3,4,5,4,47,1,,48889671,0,multiple
2025-04-03 21:02:38,2025-04-03 21:04:30,0,162.83.132.229,100,111,1,2025-04-03 21:04:31,R_3JA1EzXmGLPxBG9,,,,,40.7429,-73.9392,anonymous,EN,1,1,4,1,1,1,1,1,5,6,,1,4,1,0,6,,1,1,1,1,1,28,2,,11293017,1,single
2025-04-03 21:01:16,2025-04-03 21:04:31,0,77.111.118.102,100,194,1,2025-04-03 21:04:32,R_6jrJYuV5IXAe212,,,,,39.7491,-104.9945,anonymous,EN,6,6,6,6,5,6,7,5,1,"1,3",,6,6,6,1,3,,6,5,6,5,5,38,1,,77898173,1,single
2025-04-03 21:01:06,2025-04-03 21:04:37,0,67.11.149.227,100,210,1,2025-04-03 21:04:37,R_5jeoUJ3Eu2VJJTs,,,,,29.5551,-98.7442,anonymous,EN,5,4,4,5,5,4,4,5,"1,4",6,,2,5,5,1,6,,4,3,4,4,4,37,2,,53760158,1,single
2025-04-03 21:02:51,2025-04-03 21:04:54,0,174.74.111.82,100,122,1,2025-04-03 21:04:54,R_3QLocFy2WQPWXqj,,,,,41.2969,-95.9674,anonymous,EN,2,2,4,2,1,3,2,2,4,6,,2,2,1,0,6,,1,1,3,2,2,49,1,,80449806,1,single
2025-04-03 21:02:37,2025-04-03 21:06:25,0,70.44.226.215,100,227,1,2025-04-03 21:06:25,R_6oKsVivxVFOhwfT,,,,,40.9485,-75.9565,anonymous,EN,4,3,4,4,3,3,3,6,"1,4","4,6",,3,4,4,0,6,,2,2,2,2,2,40,1,,35624485,0,multiple
2025-04-03 21:04:01,2025-04-03 21:07:12,0,68.0.149.215,100,191,1,2025-04-03 21:07:13,R_3aOXZovNvBKt0zt,,,,,32.2123,-110.879,anonymous,EN,2,7,3,3,1,3,3,7,"1,4",6,,5,2,1,0,6,,2,1,1,1,1,54,1,,94545451,0,multiple
2025-04-03 21:03:24,2025-04-03 21:07:25,0,12.160.225.112,100,241,1,2025-04-03 21:07:26,R_5aLTatSxhjvWirE,,,,,34.0544,-118.244,anonymous,EN,2,3,2,4,2,3,2,7,"1,4","4,6",,4,3,2,0,6,,2,2,3,2,2,45,1,,54606812,1,single
2025-04-03 21:05:33,2025-04-03 21:07:28,0,23.243.213.44,100,114,1,2025-04-03 21:07:28,R_7rlnFhPwSIz6336,,,,,34.003,-118.4298,anonymous,EN,6,4,5,6,6,7,7,4,"1,4","2,5",,6,6,7,1,2,,7,7,6,6,7,31,1,,24551487,1,single
2025-04-03 21:00:27,2025-04-03 21:07:34,0,162.206.59.204,100,427,1,2025-04-03 21:07:35,R_7Ib1gxf7HB2ph1n,,,,,29.5593,-97.9631,anonymous,EN,6,5,5,4,3,3,3,7,"1,4","2,7","Curiosity about what's in the product (nuts, granola, fruit, etc.)",4,5,4,1,2,,5,2,5,4,5,49,2,,24802021,1,single
2025-04-03 21:05:21,2025-04-03 21:07:47,0,104.28.58.0,100,145,1,2025-04-03 21:07:47,R_5qCdtfIw1BdDmWM,,,,,42.3695,-83.4769,anonymous,EN,2,2,2,2,2,2,2,2,"1,4","4,6",,2,4,2,0,6,,1,1,2,1,1,31,1,,26386595,0,multiple
2025-04-03 21:02:33,2025-04-03 21:08:21,0,71.212.60.76,100,348,1,2025-04-03 21:08:22,R_71in9ukfge4JDDK,,,,,47.4936,-122.2415,anonymous,EN,2,1,1,1,2,2,1,1,5,"4,6",,2,1,1,0,6,,1,1,1,1,1,51,1,,51633639,0,multiple
2025-04-03 21:05:59,2025-04-03 21:08:34,0,70.127.166.123,100,154,1,2025-04-03 21:08:34,R_72S4544zBhpPggk,,,,,27.9611,-81.9398,anonymous,EN,3,4,4,4,3,5,3,3,1,"4,6",,3,4,3,0,6,,3,3,3,3,3,38,1,,61056874,0,multiple
2025-04-03 21:02:37,2025-04-03 21:08:35,0,172.15.14.58,100,358,1,2025-04-03 21:08:36,R_5ayKfxn9q0xrQH8,,,,,38.2479,-122.6192,anonymous,EN,5,5,5,5,3,3,3,6,"1,4","1,7","Product looks up my alley, but felt the captions were too vague to really make a decision about whether I should buy. ",5,5,3,0,5,,3,2,4,5,5,45,2,,17742997,0,multiple
2025-04-03 21:05:45,2025-04-03 21:08:40,0,24.4.246.231,100,175,1,2025-04-03 21:08:41,R_3IFlDqePTWEVI8V,,,,,37.4152,-122.1224,anonymous,EN,3,3,2,2,2,2,2,3,1,2,,2,2,4,0,6,,3,3,4,4,4,39,1,,49516257,0,multiple
2025-04-03 21:04:42,2025-04-03 21:08:42,0,207.193.207.111,100,240,1,2025-04-03 21:08:44,R_7d3TNHUVYJmM67x,,,,,33.6143,-84.3716,anonymous,EN,3,1,1,1,1,1,1,1,5,6,,2,1,1,0,6,,1,1,1,1,1,67,2,,58771788,1,single
2025-04-03 21:08:29,2025-04-03 21:10:10,0,68.2.83.228,100,101,1,2025-04-03 21:10:10,R_70otZZzy8UkgCKl,,,,,33.7001,-111.8877,anonymous,EN,3,1,1,1,1,1,1,5,"1,4",6,,2,1,2,0,6,,1,1,1,1,1,61,1,,68154381,0,multiple
2025-04-03 21:04:18,2025-04-03 21:10:46,0,65.186.221.183,100,388,1,2025-04-03 21:10:47,R_7tgjVqbhE2J0xav,,,,,40.2459,-83.3603,anonymous,EN,3,5,6,3,6,5,5,3,5,6,,5,5,1,0,2,,2,1,4,4,3,40,1,,37095440,1,single
2025-04-03 21:08:04,2025-04-03 21:10:56,0,24.126.176.37,100,172,1,2025-04-03 21:10:56,R_7IahRqA8pP1MvFI,,,,,34.0414,-84.5053,anonymous,EN,2,1,3,2,2,1,1,1,5,4,,1,1,1,0,6,,1,1,2,1,1,48,1,,17241566,1,single
2025-04-03 21:06:31,2025-04-03 21:11:35,0,71.204.166.252,100,303,1,2025-04-03 21:11:35,R_6GxE5vbuspJ3UEN,,,,,37.2941,-121.8996,anonymous,EN,5,5,3,4,4,5,3,7,"1,4","1,6",,5,4,5,0,6,,3,3,3,3,3,50,1,,29862183,0,multiple
2025-04-03 21:04:37,2025-04-03 21:11:41,0,24.126.14.42,100,424,1,2025-04-03 21:11:42,R_77oS8QxwOP3A90Z,,,,,39.308,-76.6734,anonymous,EN,6,1,5,6,6,6,6,4,1,6,,1,1,4,0,3,,5,4,5,4,5,44,1,,69121661,1,single
2025-04-03 21:08:07,2025-04-03 21:12:09,0,75.89.140.172,100,242,1,2025-04-03 21:12:10,R_7ciV1Hk9ON5lj2G,,,,,42.4861,-91.4452,anonymous,EN,5,4,4,4,4,5,5,6,1,"2,6",,5,5,4,0,6,,4,3,3,2,2,54,1,,75848678,1,single
2025-04-03 21:07:58,2025-04-03 21:12:15,0,172.56.223.10,100,257,1,2025-04-03 21:12:15,R_7dPPkyhpeRbX0qe,,,,,39.9486,-75.2339,anonymous,EN,2,1,4,2,4,2,1,2,5,6,,1,2,1,0,6,,6,2,4,4,4,50,1,,29448333,1,single
2025-04-03 21:07:09,2025-04-03 21:12:17,0,68.200.103.192,100,307,1,2025-04-03 21:12:17,R_1lJNP98Z5lxYvEl,,,,,27.8154,-82.6815,anonymous,EN,2,2,4,2,2,1,2,7,"1,4",4,,2,2,1,0,6,,1,1,1,1,2,59,1,,77236256,1,single
2025-04-03 21:07:48,2025-04-03 21:12:21,0,74.90.166.95,100,272,1,2025-04-03 21:12:21,R_1SuoFABXKe7kvJv,,,,,40.6877,-73.9267,anonymous,EN,4,4,4,4,4,5,4,4,"1,4","2,6",,6,4,4,0,6,,4,4,4,4,4,36,1,,36596327,1,single
2025-04-03 21:07:35,2025-04-03 21:12:26,0,174.196.196.168,100,290,1,2025-04-03 21:12:26,R_7E11OHaTxAFTYoC,,,,,42.3427,-71.0922,anonymous,EN,3,3,3,3,3,5,4,6,"1,4","4,6",,5,2,2,0,6,,2,2,2,2,2,48,4,,89245071,1,single
2025-04-03 21:08:00,2025-04-03 21:12:35,0,68.37.163.215,100,275,1,2025-04-03 21:12:35,R_6MiHcZFUsSzmRVV,,,,,42.5836,-83.4989,anonymous,EN,6,6,5,4,5,5,3,5,"1,3,4",7,curiosity about if the product even tastes good,5,5,4,1,6,,2,1,4,4,4,28,2,,46981955,1,single
2025-04-03 21:08:24,2025-04-03 21:12:45,0,172.56.71.162,100,261,1,2025-04-03 21:12:46,R_7zl2F9A3NRrAFqZ,,,,,33.7043,-84.3742,anonymous,EN,5,4,5,5,4,5,5,5,"1,3","1,2",,5,4,5,0,2,,4,4,4,5,5,42,1,,87523082,0,multiple
2025-04-03 21:08:05,2025-04-03 21:12:46,0,66.73.96.19,100,280,1,2025-04-03 21:12:46,R_7g5C3FQd9PoNoOW,,,,,33.058,-89.5896,anonymous,EN,5,6,6,4,7,5,5,7,"1,4",3,,5,6,5,1,1,,6,5,5,5,7,41,1,,15200552,0,multiple
2025-04-03 21:10:08,2025-04-03 21:13:12,0,162.206.136.81,100,184,1,2025-04-03 21:13:13,R_7OIN39VHR6UUBtM,,,,,42.0469,-88.1051,anonymous,EN,3,2,3,3,4,4,4,3,5,7,wondering why such a young person is promoting something called age rewind,3,2,2,0,4,,3,1,3,3,3,51,2,,99538922,1,single
2025-04-03 21:08:27,2025-04-03 21:13:32,0,70.189.71.72,100,304,1,2025-04-03 21:13:32,R_3tyFxN9piCFE0sO,,,,,36.0284,-95.9306,anonymous,EN,2,6,4,2,2,3,4,7,4,"3,4",,2,3,1,0,4,,2,1,2,4,4,73,1,,76055802,0,multiple
2025-04-03 21:09:11,2025-04-03 21:13:52,0,68.103.194.58,100,281,1,2025-04-03 21:13:52,R_3feQ8LG9RLZWxtV,,,,,37.8199,-96.846,anonymous,EN,6,5,4,5,4,5,4,6,4,6,,4,5,6,0,5,,5,4,4,4,4,64,1,,72992072,1,single
2025-04-03 21:09:02,2025-04-03 21:14:31,0,72.176.137.144,100,329,1,2025-04-03 21:14:32,R_3OjiIUdZQa9eCrf,,,,,31.7078,-106.3238,anonymous,EN,5,4,6,5,4,6,4,5,4,"2,3",,4,4,3,1,2,,4,2,4,3,3,47,1,,60469276,1,single
2025-04-03 21:10:50,2025-04-03 21:14:43,0,50.39.197.136,100,233,1,2025-04-03 21:14:43,R_3TvZfUuMtLNvpU5,,,,,45.0051,-122.7832,anonymous,EN,2,1,4,1,1,5,5,1,5,"4,6",,5,1,1,0,4,,1,1,1,1,1,38,2,,95061310,1,single
2025-04-03 21:12:25,2025-04-03 21:14:48,0,96.62.127.118,100,142,1,2025-04-03 21:14:48,R_63Pbj5Z6QOQ8ti1,,,,,37.751,-97.822,anonymous,EN,6,6,4,7,4,6,5,7,"1,2,3",3,,5,4,5,0,2,,7,4,6,4,7,52,2,,72263274,1,single
2025-04-03 21:08:21,2025-04-03 21:15:10,0,67.187.213.209,100,408,1,2025-04-03 21:15:10,R_7dJHpSRBPLBqlTb,,,,,36.7539,-119.7085,anonymous,EN,2,5,3,2,2,2,2,2,4,"4,6",,2,2,1,0,6,,2,1,2,2,2,61,1,,54101968,0,multiple
